Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,300 sq.m.,3,8+,2,,No Renovation,600 sq.m.,"Andranik Street, Dilijan station","$90,000",USD,Private house for sale urgently. Call for detailsTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/18369046,
House,Stone,103 sq.m.,1,4,1,,Cosmetic Renovation,800 sq.m.,"13-րդ փողոց 18, Հաղարծին","$75,000",USD,"The house is located on the Dilijan Ijevan interstate road in the center of Haghartsin village, the first line is very suitable for living or for renting to tourists as a guest house, restaurant, supermarket or any workshop. Has constant gas and water Euro windows. On the other side of the road, there is a 35 square meter covered basement floor on which a 2nd floor can be built. About 1 km from the house to Ijevan on the other side of the river has 800 square meters of land where it is possible to build cottages along with the land $90,000Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18354430,
House,Stone,150 sq.m.,2,5,3+,,Major Renovation,,Tavush › Dilijan,"$139,000",USD,"The house has two floors, each floor is 70-80 square meters. It has one living room, kitchen, 3 bedrooms / two with their own bathrooms /, one summer kitchen, balconies, corridors, etc. Newly renovated, it now serves as a guest house. Located on Dilijan city, Tbilisi highway / Getap / 300 m from the restaurant. Inside! The land is private, about 900 sq. M.It is also suitable for use in other functional areas.Exchange with a plot of land near Yerevan is possible.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15362095,
House,Stone,114 sq.m.,4+,6,1,3 or more spots,Partial Renovation,,"Getapnya Street, Dilijan","$200,000",USD,For more information callTranslated from Armenian,Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16282079,
House,Stone,108 sq.m.,1,5,1,,Partial Renovation,,Tavush › Haghartsin,"8,000,000 ֏",AMD,"A house for sale in the village of Haghartsin, Dilijan, in the lap of the forest, partially renovated, has 5 rooms, 2 bedrooms, a basement and a garage, has constant water and electricity, no gas, also has a large Armenian plot of land, suitable for building a building, I will exchange it for a car with an additional payment from youTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16645243,
House,Stone,150 sq.m.,2,4,2,1 spot,Cosmetic Renovation,700 sq.m.,"Erevanyan street, Ijevan","$120,000",USD,"For sale or rentIt is located in the center of Ijevan, next to the newly built Ijevan hotel, suitable for building a guest houseTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18183583,
House,Stone,345 sq.m.,4+,8+,2,2 spots,Partial Renovation,1650 sq.m.,"2-րդ փողոց 1/1, Թեղուտ","136,000,000 ֏",AMD,"A four-storey private house for sale in Teghut village of Dilijan, suitable for building a hotel or guest house. It has an orchard. The house is located in a high place in the village and has a beautiful view. The house has water, gas, electricity (three-phase), sewerage, the land has the possibility to expand to 1500-2000 square meters, and the house is 200 square meters. Also exchange with furi Man-Iveco Daf. In case of questions, write or call whatsap-viberTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17968933,
House,Monolith,47 sq.m.,3,3,1,Not available,No Renovation,,"Երիտասարդական փողոց 3, Իջևան","10,000,000 ֏",AMD,"Newly built houseHouse in IjevanYouth 7.Negotiable,exchange with a car, for an additional feeTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16044382,
Country House,Stone,200 sq.m.,3,5,2,1 spot,No Renovation,1650 sq.m.,"13-րդ փողոց 18, Հաղարծին","$30,000",USD,Semi-detached three-storey house for sale in Dilijan city (G/Hagartsin)Translated from Armenian,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18234236,
House,Stone,120 sq.m.,2,4,1,,Old Renovation,1500 sq.m.,"Улица Калинина 104, Дилижан","$60,000",USD,"Дом в городе Дилижан! Газ, вода, каналищацп, отопление. Большой участок земли в собственности, фруктовые деревья, грецкий орех. Есть возможность построить гостевой дом или гостиницу. Рядом река Агстев, возможен маленький торг.",Nov-25-2022_00-20,,,,,https://list.am/en/item/17846781,
House,Stone,120 sq.m.,2,4,1,,Old Renovation,,"Kalinini street, Dilijan station","4,200,000 ₽",RUB,Продаю дом в г. Дилижан. Большой дом с большим участком. С веранды открывается красивый вид на город. Все коммуникации подключены. Городская канализация. Торг уместен.,Nov-25-2022_00-20,,,,,https://list.am/en/item/17098122,
House,Stone,295 sq.m.,2,3,1,,Partial Renovation,,Tavush › Ijevan,"$50,000",USD,"It has 2 floors, the 1st floor is half-built, the 2nd floor is covered, the floor and the floor are covered, the monolithic roof is aluminum, it has gas, water, light, 3 bedrooms, hall, corridor, kitchen.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18287076,
House,Wooden,20 sq.m.,1,1,1,,Old Renovation,20 sq.m.,"Shamakhyan Street, Dilijan station","$12,000",USD,The land is located next to AYB school.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17295752,
House,Stone,200 sq.m.,2,4,3+,1 spot,Major Renovation,2000 sq.m.,"Ankakhutyan Street, Ijevan","$55,000",USD,"City Ijjan Miasnikyan 81/2. It has a 2000 sq / m plot on a slope where 40 hazelnut and walnut seedlings have been planted, which is connected by a drip irrigation system. Also, in the 200 sq / m front part. , Jacuzzi (800 000 AMD) He also exchanges with the car for a surcharge. Negotiable in case of cash purchase.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16549827,
House,Stone,400 sq.m.,1,4,1,Not available,No Renovation,400 sq.m.,"Անկախության փողոց 22, Իջևան","$30,000",USD,"Q. Ijan str. Blbulyan, second alley, house 7 (in the city center)The house is in old condition, it is not subject to living.The area is suitable for a newly built house. Call for details.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17659737,
House,Monolith,1313 sq.m.,3,6,1,Not available,No Renovation,1313 sq.m.,"Myasnikyan street, Dilijan station","$73,000",USD,Տեղն ու դիրքը շատ հարմար է ցանկացած գործունեություն ծավալելու համար`Продажа также возможна с BITCOIN (криптобиржа)Translated from Armenian,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17375730,
House,Stone,243 sq.m.,3,5,3+,1 spot,Euro Renovation,1130 sq.m.,Tavush › Dilijan,"$85,000",USD,"Прекрасная панорама, сад, гараж, подвал, беседка, балконы, терраса, газовое отопление, камин.",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16307841,
Country House,Stone,135 sq.m.,2,3,1,Not available,Partial Renovation,400 sq.m.,Tavush › Dilijan,"$70,000",USD,"URGENT Private house for sale c. In Dilijan, with a very beautiful view, facing the sun (summer and winter sun in the middle), constant light, gas, water. The roof is renovated, it has an orchard. PRICE NEGOTIABLE.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17594518,
Country House,Wooden,2400 sq.m.,2,3,2,,Designer Renovation,1900 sq.m.,"Kamo Street, Dilijan station","$1,200,000",USD,"4 newly built wooden private houses are for sale, equipped with furniture and appliances, as well as a 2-storey stone administrative building.Works as an operating guest house.* 24 hour security video surveillance system* parking for 10 cars* Individual heating systems in all private houses*interior design* high quality furniture and equipment* Fireplace* Individual pool and sauna* Children's playgroundTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17945319,
House,Stone,100 sq.m.,2,3,2,,No Renovation,1400 sq.m.,"Maksim Gorky Street, Dilijan station","$100,000",USD,"The house is located in the lap of beautiful nature, has all communications, a beautiful garden with productive trees, 1500m of land, the price is negotiable.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18176946,
House,Stone,100 sq.m.,2,4,2,,No Renovation,500 sq.m.,"Kamo Street, Dilijan station","$22,000",USD,"Private house for sale with a half-finished orchard, sunny, negotiable in natureTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17859767,
House,Stone,100 sq.m.,2,3,1,,Cosmetic Renovation,800 sq.m.,"Hovsepyan Street, Dilijan station","$55,000",USD,House in Dilijan with a productive garden with a lovely viewTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/18055203,
House,Stone,1000 sq.m.,2,4,1,,Old Renovation,900 sq.m.,"Kalinini street, Dilijan station","$100,000",USD,"A house is for sale in the city of Dilijan, in the Papanino district. The residential house has 2 floors: 2 bedrooms, 1 living room, kitchen and bathroom.On the first floor there is a workshop, kitchen, bedroom and bathroom. It has a great location and a wonderful view of the wonderful nature of Dilijan from the balcony. If you have decided to have a hotel in Dilijan, it is a very good option, the plot will allow you to build any vacation place you imagine and after renovating the house, you will have the most amazing guest house that will attract thousands of vacationers. Nearby is the 2nd school, music school, art school, sports school, pharmacy, shops, bus stop.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17738830,
House,Stone,331 sq.m.,3,6,3+,,Major Renovation,885 sq.m.,"Kamo Street, Dilijan","$300,000",USD,"Կոդ PL139Դիլիջանի ոլորանների վերջնամասում` Քաղաքի մուտքի մոտ վաճառվում է 3 հարկանի գեղեցիկ շինությամբ կապիտալ վերանորոգված առանձնատուն, որի բնակելի մակերեսը կազմում է 331 քմ իսկ հողատարածքը` 885 քմ: Բաղկացած է հյուրասենյակից, խոհանոցից, 5 ննջասենյակից, 3 սանհանգույցից, որից մեկը գտնվում է ամառային խոհանոցին կից և 2 բաց պատշգամբներից` Ծղոտե ճոճաթոռով, բազկաթոռներով և գեղեցիկ տեսարաններով: Հյուրասենյակն ունի յուրօրինակ դիզայներական լուծումներով ինտերիեր՝ բուխարիով: Բոլոր սենյակները համալրված են նորաոճ կահույքով և անհրաժեշտ տեխնիկայով: Տեղադրված է գազի կաթսա, հատակը ծածկված է լամինատով և սալիկներով: Սանհանգույցները սալիկապատված են և հագեցած են սանտեխնիկայով: 3-րդ հարկն օգտագործվում է ժամանցի համար, որտեղ կա խաղասրահ` Բիլիարդի սեղանով: Առանձնատունն ունի գեղեցիկ ամառային խոհանոց բոլոր հարմարություններով` Մանղալով, սառնարանով, գազօջախով, լվացարանով, հնաոճ կահույքով և խորդանոցով։ Բակը կանաչապատ է և խնամված, կա 6 ավտոմեքենա կայանելու հնարավորություն։At the entrance to the city of Dilijan, a 3-story mansion with an area of 331 sqm, with a land plot of 885 sqm is for sale. It consists of a living room, a kitchen, 5 bedrooms, 3 bathrooms (one of the bathrooms is attached to the summer kitchen) and 2 open balconies with a beautiful view. A gas boiler is installed, the floor is covered with laminate and tiles. The bathrooms and kitchens are tiled. On the 3rd floor there is a game room and a billiard table. The furnished summer kitchen with a canopy is equipped with a barbecue, refrigerator, gas stove and sink. The living room is decorated with design solutions, with a fireplace. In the well-kept yard there is a green area and outdoor parking for 6 cars.При въезде в город Дилиджан продается 3-х этажный особняк площадью 331 кв. М. , с земельным участком 885 кв. М. Состоит из гостиной, кухни, 5-ти спален, 3-х санузлов (один из санузлов сопряжен с летней кухней) и 2-х открытых балконов с красивым видом. Установлен газовый котел, пол покрыт ламинатом и плиткой. Санузлы и кухни выложены плиткой. На 3-ем этаже есть игровой зал и бильярдный стол. В меблированной летней кухне с навесом есть мангал, холодильник, газовая плита и мойка. Гостиная оформлена с дизайнерскими решениями, с камином. В ухоженном дворе есть зеленая зона и открытая парковка на 6 машин.",Nov-25-2022_00-20,,,,,https://list.am/en/item/18151455,
