Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
House,Stone,95 sq.m.,1,2,1,By agreement,1 spot,Major Renovation,95 sq.m.,Kotayk › Zovuni,"$62,000",USD,"Blessed Home:The apartment is fully renovated, has 2 bedrooms, permanent water, basement and garage. The apartment is sold together with the property. Partial sale possible. To know the prices of separate first and second floors, call our phone numbers. The house includes the property and the garage in its price. For more information call:Translated from Armenian",Nov-24-2022_23-05,,"FIreplace, barbecue oven",,https://list.am/en/item/18044510
House,Stone,220 sq.m.,2,3,2,,,Euro Renovation,600 sq.m.,Kotayk › Tsakhkadzor,"$450,000",USD,"Newly built with all amenities; With a plot of land, a garageTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17949701
House,Stone,160 sq.m.,2,5,3+,Not available,2 spots,Designer Renovation,350 sq.m.,"Arabkir street, Kasakh","$170,000",USD,"In front of Proshan cognac factory, next to Vahagn district. Beautiful and new districtTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17673640
Country House,Stone,206 sq.m.,2,5,2,,2 spots,Euro Renovation,,"Dzoraghbyur 1-st block, Dzoraxbyur","$150,000",USD,"The private house is located in the summer house of DZORAGHBYUR, the area of the two-storey private house is 206 square meters. The land is 500 square meters, fully fenced, beautiful garden, chat room, swimming pool, summer kitchen, recreation area, parking lot, the house is fully renovated, equipped with the necessary equipment. The private house consists of 4 bedrooms, the kitchen is connected to the living room, 2 bathrooms. , is provided with security system, there are water tanks on the basement floor, the basement is used as a playroom, it is gasified. Payment is possible in stages.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/14500467
Country House,Stone,170 sq.m.,3,5,2,,,Old Renovation,600 sq.m.,Kotayk › Dzoraghbyur,"$42,000",USD,"Price is negotiable—-3-storey summer house for sale in Dzoraghbyur. Total land area600 square meters with fruit trees, the area of the building is 170 square meters, the entrance to the residential area is from the garden. The building is made of two rows of stone, the doors are iron, the windows are barred.The summer house has:• 1st floor - semi-basement with separate entrance (three rooms), adjoining bathroom, covered area for two cars.• 2nd floor - spacious living room with brick fireplace, bedroom, kitchen, bathroom, spacious balcony.• 3rd floor - three bedrooms, corridor, garden view (one) and balconies with three-way view (one)In the yard there are:• Cultivated garden with Dutch tulips, fruit trees, berry and rose bushes.• Swimming pools: Big and Small. Pavilion (besedka) : Balcony with three-sided view from above.• Brick barbecue with ""Chimney"" and barn.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16828467
House,Stone,800 sq.m.,1,4,1,By agreement,3 or more spots,Euro Renovation,800 sq.m.,"2-я улица Аринджа, Ариндж","$195,000",USD,800 sq. M. M (total area)130 sq. M. M (house area)4 rooms1st floorUtilities:* heating* Internet* hot water* sewer* Electricity* gas* drinking water* permanent waterAdditional:* furniture* European window* iron door* sunny* beautiful view* fenceTranslated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/17991908
House,Stone,480 sq.m.,3,7,2,Not available,3 or more spots,Partial Renovation,800 sq.m.,Kotayk › Argel,"27,000,000 ֏",AMD,"A two-storey house with a stone wall with double walls is for sale, and a three-storey private house of 479.8 sq. M. Meters with a total area of 319.9 sq. M. Meters of oak parquetWooden, doors and wooden windows, bathroom and bathroom tiled; The fence is 5.3 sq. M. Meter, has permanent drinking and irrigation water, electricity and natural gas;It has 159.9 sq. M. Meter basement with its operating legal mushroom factoryThe area of the land near the house is 0.06 hectares with fruit trees;Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/11798779
House,Stone,100 sq.m.,1,4,1,,,Partial Renovation,1200 sq.m.,Kotayk › Goght,"$80,000",USD,"Private house for sale in Goght village. It has fruit trees, a barn, a tonratun, a storage room. It is for sale together with the furniture. Call the mentioned phone numbers.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17529491
House,Monolith,250 sq.m.,2,4,1,Not available,1 spot,Euro Renovation,450 sq.m.,Kotayk › Arinj,"$170,000",USD,"Arinj P. S. Tsak district 20 str. 3/1 on the ground floor, 4 rooms renovated, second floor, general area, water, gas, electricity, asphalt road.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/15867799
House,Stone,360 sq.m.,2,6,2,Available,3 or more spots,No Renovation,1914 sq.m.,Kotayk › Zovuni,"$500,000",USD,"Կոդ՝D-23142Վաճառվում է 2 հարկանի 6 սենյականոց առանձնատուն Զովունիում։ Առանձնատունը զրոյական վիճակում է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, սանհանգույցը (2) ՝ առանձին, սալիկապատ։ Առանձնատունն ունի բաց լոջա, քարե պարիսպ, բարեկարգ բակ, դարպաս, այգի, դեկորատիվ ծառեր, պտղատու ծառեր, ծաղկանոց, լողավազան, ջրավազան, բուխարի, ամառային խոհանոց, անվտանգության տեսախցիկ, մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ:2-storey house for sale in Zovuni. The rooms' quantity is 6. The house is the zero condition. The entrance door is iron-made, the windows are euro-based, the bathroom (2) are separate and tiled. The house has a balcony, stone fence, nice yard, gate, garden, fruitful and decorative trees, flowerbed, swimming pool, pool, fireplace, summer kitchen, security camera and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-05,,,,https://list.am/en/item/18375251
Country House,Stone,227 sq.m.,2,3,3+,By agreement,3 or more spots,Designer Renovation,589 sq.m.,"Երիտասարդության փողոց 1, Ձորաղբյուր","$560,000",USD,"It is possible to sell together with the house next door. View my announcements.A capital, luxuriously built country house for sale, (faced with travertine) with a heated indoor swimming pool, also covered with travertine. The pool is equipped with a modern automated filtration system, the pool area is equipped with an air flow control system, heated floor.On the first floor there is a swimming pool, a sauna, a recreation area, a changing room, a bathroom, a toilet. On the 2nd floor, a large living room, 2 bedrooms, kitchen, bathroom, open balcony. Green, well-kept, garden, productive trees, pavilion, barbecue, summer kitchen, parking space for 6 cars, tiled toilet in the yard. Remote control gate.It is possible together with furniture and appliances.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18004223
House,Stone,180 sq.m.,2,6,2,Not available,Not available,Partial Renovation,600 sq.m.,"Garegin Nzhdeh Street, Kasakh","75,000,000 ֏",AMD,"Garegin Nzhdeh street, KasakhType:HouseBuilding type:To the panel:Number of floors:2:Number of rooms:6:Number of bathrooms:2:Total area:180 sq. M. Մ.Land area:600 sq. M. Մ.RenovationPartial renovationHouse for sale in Kasakh communityThe area of the land is 600 square metersThe area of the house is 180 square meters1st floorLiving room, separate room, spacious entrance hall, kitchen, bathroom, exit from the kitchen to the yard2nd floor4-bedroom, open balcony and bathroomThe windows are all of European quality, the power cords are pulled, plastered, cut, the camera wires and Baxi system is not fully installed, the entrance hall floor is pressed graniteCall for other questionsTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17521647
House,Stone,100 sq.m.,2,4,1,,,Partial Renovation,1500 sq.m.,Kotayk › Akunk,"$100,000",USD,"A two-story stone house is for sale in Akunk, under Mount Hatis. The house has electricity and water, kitchen and dining room on the first floor, bathroom and three bedrooms on the second floor. There is a possibility to carry gas. The walls of the house are made of two layers of tuff, the windows are made of euro, the plinth is made of basalt, the roof is made of monolithic concrete, the lights are installed. In the garden there are: 70 fruit trees, 2 big popok trees, barbecue, pavilion (bisetka) Irrigation water. The fence of the plot is made of stone.The house needs only cosmetic repairs, because the walls are plastered and leveled with plaster.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18356439
House,Stone,226 sq.m.,1,4,1,Available,Not available,Old Renovation,730 sq.m.,Kotayk › Getamej,"$58,000",USD,"Old renovation, large basement, large open balcony, sauna, swimming pool, fruit trees, pavilion, capital building, h 3 meters, sauna, swimming pool, fireplace, orchard, furniture and with old thingscode 24624:Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17235793
Country House,Stone,405 sq.m.,3,8+,2,,,Euro Renovation,3000 sq.m.,Kotayk › Aghveran,"$195,000",USD,"A 3 bedroom detached house in Aghveran is for sale. The area of the house is 405 square meters. M. Yes, the land is 3000 m. K. All communications are available. It is very suitable for daily rent. It has a swimming pool, a fireplace, a toaster, a beautiful chat room and a garden with dozens of orchards. The whole area is fenced with double tuff.It is also possible to exchange with an apartment in Yerevan.For more information call.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18310192
House,Stone,190 sq.m.,3,7,1,Available,2 spots,Partial Renovation,310 sq.m.,Kotayk › Kaputan,"$43,000",USD,"The house from the owner without an intermediary!CaptainCaptainKaputan:Uninhabited newly built apartment in Kaputan, 2 floors + basement.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18330381
House,Stone,140 sq.m.,1,3,1,,,Euro Renovation,8200 sq.m.,"Քոչորի փողոց 58, Հրազդան","$78,000",USD,Общая площадь 8500кв. Метров дом 80кв. М каровник 70кв. М. Погреб вагон бытовка падвал 2скважины постоянная вода газ отопление электичество 3 фазы 2дороги фруктовый сад 35 деревьев все удобства можно под любой бизнес цена78000$ торг реальному покупателюԿոդ Dty3333,Nov-24-2022_23-05,,,,https://list.am/en/item/17782796
House,Stone,120 sq.m.,2,4,2,Not available,Not available,No Renovation,150 sq.m.,"Խաչատուր Աբովյան 8-րդ փողոց 3/2, Առինջ","$130,000",USD,"The house was located in the newly built district of Arinj. There is water, light and gas.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16923064
House,Monolith,280 sq.m.,2,6,2,Not available,1 spot,Partial Renovation,480 sq.m.,"Պարույր Սևակ թաղամասի 8-րդ փողոց 20, Առինջ","$135,000",USD,"Newly built house in the new district, there is water, the size of the land is 480 square meters, the house is 280 square metersTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16085437
House,Monolith,830 sq.m.,4+,8+,3+,By agreement,3 or more spots,Designer Renovation,700 sq.m.,"Jrvezh 2-nd street 1, Yerevan","$280,000",USD,"4-storey private house for sale in Jrvezh, fully renovated, swimming pool, land, fence, gardenCode SA-2080Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18000891
